Date,Time,Condo ID,Crab ID,Outcome,Sex,Color,RI,Status,Shell Hardness,Black Light Fluorescence,Photo ID,Fed (Y/N),Post-molt CW (mm),Post-molt mass (g),Digital RI,Ca (ppm),Notes/Observations
6/16/22,10:30,WL,GBBB,Missing,M,2,3,A,3,NA,NA,N,NA,NA,4.2,295,
6/21/22,9:40,WL,GBBB,Missing,M,1,4,A,3,NA,NA,N,NA,NA,NA,226,
6/13/22,12:31,WL,GBBW,Dead,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBBW,Dead,M,1,4,A,3,NA,NA,N,NA,NA,5,328,
6/21/22,9:40,WL,GBBW,Dead,M,2,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/23/22,8:26,WL,GBBW,Dead,M,1,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GBBW,Dead,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,251,
5/31/22,9:18,WL,GBG,,M,1,10,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBG,,M,1,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBG,,M,2,11,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GBG,,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,11:05,WL,GBG,,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/21/22,9:40,WL,GBG,,M,2,9.5,A,3,NA,NA,N,NA,NA,NA,346,released (3-week mark)
5/19/22,10:30,WL,GBGB,Molted,M,4,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBGB,Molted,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBGB,Molted,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBGB,Molted,M,NA,NA,M,2,NA,NA,N,53,36.4,NA,NA,
5/19/22,9:21,WL,GBGG,Molted,M,3,12,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBGG,Molted,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBGG,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBGG,Molted,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBGG,Molted,M,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBGG,Molted,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBGG,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GBGG,Molted,M,3,5,M,2,NA,NA,N,61,52.6,NA,NA,
6/13/22,12:31,WL,GBGK,Removed,M,3,11.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBGK,Removed,M,4,10,A,3,NA,NA,N,NA,NA,11.4,417,
6/23/22,8:26,WL,GBGK,Removed,M,4,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GBGK,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/30/22,9:22,WL,GBGK,Removed,M,4,10,A,3,NA,NA,N,NA,NA,10.2,348,
7/5/22,9:22,WL,GBGK,Removed,M,3,8,A,3,NA,NA,N,NA,NA,8.3,312,
7/7/22,9:27,WL,GBGK,Removed,M,4,9,A,3,NA,NA,N,NA,NA,9,354,
5/19/22,9:21,WL,GBGR,Removed,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBGR,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBGR,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBGR,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBGR,Removed,M,4,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBGR,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBGR,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GBGR,Removed,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBGW,Dead,M,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBGW,Dead,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBGW,Dead,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBGW,Dead,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GBGW,Dead,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,Small crab shell; maybe he ate another meal
6/6/22,9:36,WL,GBGW,Dead,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBGY,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,pinkish blood
5/23/22,9:45,WL,GBGY,Molted,M,1,5,M,1,NA,NA,N,60,52.3,NA,NA,
5/19/22,10:30,WL,GBKR,Molted,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBKR,Molted,M,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBKR,Molted,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,"Broken leg, very difficult to get blood"
5/31/22,9:18,WL,GBKR,Molted,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,Missing 2 legs; still hard to find blood
6/2/22,9:22,WL,GBKR,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,Side is starting to crack
6/6/22,9:36,WL,GBKR,Molted,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,In the process of molting; but not emerged
6/2/22,10:00,WL,GGBR,Molted,M,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,Originally entered as GBR
6/13/22,12:31,WL,GBRK,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBRK,Removed,M,1,5,A,3,NA,NA,N,NA,NA,5.3,346,
6/21/22,9:40,WL,GBRK,Removed,M,3,6,A,3,NA,NA,N,NA,NA,NA,377,
6/23/22,8:26,WL,GBRK,Removed,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GBRK,Removed,M,1,5.5,A,3,NA,NA,N,NA,NA,6.5,306,
6/30/22,9:22,WL,GBRK,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,342,
7/5/22,9:22,WL,GBRK,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,5.8,327,
7/7/22,9:27,WL,GBRK,Removed,M,2,5,A,3,NA,NA,N,NA,NA,5.6,325,
6/13/22,12:31,WL,GBRR,Missing,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBRR,Missing,M,2,5,A,3,NA,NA,N,NA,NA,5.1,496,
6/21/22,9:40,WL,GBRR,Missing,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GBRR,Missing,M,1,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/30/22,9:22,WL,GBRR,Missing,M,2,4.5,A,3,NA,NA,N,NA,NA,4.7,345,
7/5/22,9:22,WL,GBRR,Missing,M,2,5,A,3,NA,NA,N,NA,NA,4.7,322,Escaped after testing
7/7/22,9:27,WL,GBRR,Missing,M,1,4,A,3,NA,NA,N,NA,NA,4.3,292,Looks like its going to molt soon--new arm visibile under old arm
5/19/22,10:30,WL,GBRY,Dead,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBRY,Dead,M,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBRY,Dead,M,5,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBRY,Dead,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,difficult to get blood
6/2/22,10:00,WL,GBRY,Dead,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBRY,Dead,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBWB,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBWB,Removed,M,4,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBWB,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBWB,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBWB,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBWB,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBWB,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,Claw fell off
6/13/22,10:52,WL,GBWB,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBWK,Molted,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBWK,Molted,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBWK,Molted,M,4,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBWK,Molted,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBWK,Molted,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBWK,Molted,M,3,4,M,1,NA,NA,N,68,72.3,NA,NA,
6/13/22,12:31,WL,GBWR,Removed,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBWR,Removed,M,3,11,A,3,NA,NA,N,NA,NA,10,352,
6/21/22,9:40,WL,GBWR,Removed,M,2,10.5,A,3,NA,NA,N,NA,NA,NA,200,
6/23/22,8:26,WL,GBWR,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GBWR,Removed,M,2,3,A,3,NA,NA,N,NA,NA,NA,NA,
7/5/22,9:22,WL,GBWR,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,6.2,315,
7/7/22,9:27,WL,GBWR,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.1,284,
5/19/22,9:21,WL,GBWW,Dead,M,4,13.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBWW,Dead,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBWW,Dead,M,4,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBWW,Dead,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBWW,Dead,M,5,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBWW,Dead,M,4,6,P,3,NA,NA,N,NA,NA,NA,NA,Just starting to molt (died hours after; brought to lab to film molting)
5/19/22,9:21,WL,GBWY,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBWY,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBWY,Removed,M,2,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GBWY,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBWY,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBWY,Removed,M,2,7,A,3,NA,NA,N,NA,NA,NA,NA,"Tag arm/claw fell off, tag added; originally GBWY"
6/13/22,10:52,WL,GBWY,Removed,M,NA,NA,M,NA,NA,NA,N,NA,NA,NA,NA,Tag is missing
5/19/22,9:21,WL,GBY,Removed,M,2,9.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBY,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBY,Removed,M,2,2.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBY,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBY,Removed,M,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GBG,Removed,M,2,7.5,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as GBY
6/6/22,9:36,WL,GBY,Removed,M,2,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBY,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GBY,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBYB,Molted,M,4,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBYB,Molted,M,5,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBYB,Molted,M,4,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBYB,Molted,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,Died during molt; see pictures
5/19/22,10:30,WL,GBYG,Removed,M,3,13,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBYG,Removed,M,2,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBYG,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBWY,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as GBYG
5/31/22,9:18,WL,GBYG,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBYG,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBYG,Removed,M,1,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBYG,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GBYG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GBYR,Dead,M,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBYR,Dead,M,2,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBYR,Dead,M,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBYR,Dead,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GBYR,Dead,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,Lethargic; basically dead
6/6/22,9:36,WL,GBYR,Dead,M,NA,NA,D,3,NA,NA,N,NA,NA,NA,NA,No known cause
5/19/22,10:30,WL,GBYY,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GBYY,Removed,M,2,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GBYY,Removed,M,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GBYY,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GBYY,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GBYY,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GBYY,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,10:30,WL,GGBG,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGBG,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGBG,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGBG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGBG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGBG,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGBG,Removed,M,4,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGBG,Removed,M,5,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/21/22,9:40,WL,GBGK,Removed,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as GGBK
5/19/22,9:21,WL,GGBR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGBR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,Potential molting?
5/26/22,9:22,WL,GGBR,Molted,M,4,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGBR,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGBR,Molted,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGBR,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGBR,Molted,M,NA,NA,MIA,NA,NA,NA,N,NA,NA,NA,NA,"Molted; molt is present, but broken into pieces (molts usually stay in tact following molt). Potentially something ate the crab post molt, or it escaped"
5/19/22,9:21,WL,GGBW,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGBW,Removed,M,1,4,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGBW,Removed,M,3,2.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGBW,Removed,M,2,6,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGBW,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGBW,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,Digital refractometer matches anaolog
6/8/22,14:17,WL,GGBW,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGBW,Removed,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,10:30,WL,GGBY,Molted,M,3,11.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGBY,Molted,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGBY,Molted,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGBY,Molted,M,NA,NA,M,2,NA,NA,N,53,35.1,NA,NA,
6/13/22,12:31,WL,GGG,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GGG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.2,310,
6/21/22,9:40,WL,GGG,Removed,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,
6/23/22,8:26,WL,GGG,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GGG,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.9,317,
6/30/22,9:22,WL,GGG,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,5.5,295,
7/5/22,9:22,WL,GGG,Removed,M,3,6,A,3,NA,NA,N,NA,NA,5.9,318,
7/7/22,9:27,WL,GGG,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.1,313,
5/19/22,9:21,WL,GGGG,Dead,M,1,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGGG,Dead,M,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGGG,Dead,M,1,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGGG,Dead,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GGGG,Dead,M,2,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGGG,Dead,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGGW,Molted,M,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,10:00,WL,GGGW,Molted,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGGW,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGGW,Molted,M,4,11,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGGW,Molted,M,3,7,P,3,NA,NA,N,NA,NA,NA,NA,Butt is sticking out a little as it molts
5/23/22,9:45,WL,GGGY,Molted,M,4,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGGY,Molted,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGGY,Molted,M,3,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGGY,Molted,M,3,4.5,M,2,NA,NA,N,60,51.9,NA,NA,Gill is sticking out of armpit (photo)
5/19/22,9:21,WL,GGKG,Molted,M,4,12.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGKG,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGKG,Molted,M,4,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGKG,Molted,M,3,4,A,3,NA,NA,N,NA,NA,NA,NA,"Sides soft, crack line appearing"
6/2/22,10:00,WL,GGKG,Molted,M,1,4,M,2,NA,NA,N,61,46.2,NA,NA,
5/19/22,10:30,WL,GGKR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGKR,Molted,M,1,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGKR,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGKR,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGKR,Molted,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGKR,Molted,M,1,3.5,M,2,NA,NA,N,59,49.3,NA,NA,
5/19/22,10:30,WL,GGRK,Removed,M,2,12.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGRK,Removed,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGRK,Removed,M,2,8,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGRK,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGRK,Removed,M,2,7,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGRK,Removed,M,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGRK,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGRK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,10:30,WL,GGRR,Dead,M,4,11.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGRR,Dead,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGRR,Dead,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGRR,Dead,M,2,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGRR,Dead,M,NA,NA,D,3,NA,NA,N,NA,NA,NA,NA,Died during molt
6/13/22,12:31,WL,GGW,Molted,M,2,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GGW,Molted,M,3,11,A,3,NA,NA,N,NA,NA,11.9,403,
6/21/22,9:40,WL,GGW,Molted,M,2,4,M,2,NA,NA,N,62,57.4,NA,NA,Tag missing (identified according to condo data sheet)
6/13/22,12:31,WL,GGWG,Dead,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GGWG,Dead,M,3,7,A,3,NA,NA,N,NA,NA,8.2,365,Diseased leg; blackened around cuticle
6/21/22,9:40,WL,GGWG,Dead,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,Tag missing (identified according to condo data sheet)
6/13/22,12:31,WL,GGWK,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GGWK,Removed,M,3,8,A,3,NA,NA,N,NA,NA,9,332,
6/21/22,9:40,WL,GGWK,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/23/22,8:26,WL,GGWK,Removed,M,5,5,A,3,NA,NA,N,NA,NA,NA,NA,
6/28/22,9:19,WL,GGWK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,308,
6/30/22,9:22,WL,GGWK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,266,
7/5/22,9:22,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,8,323,
7/7/22,9:27,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.1,331,"Molt tag placed 7/5/22, but back magnet fell off"
7/11/22,9:37,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.7,355,
5/19/22,9:21,WL,GGYG,Removed,M,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGYG,Removed,M,1,9,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGYG,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGYG,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/8/22,14:17,WL,GGYG,Removed,M,2,8,A,3,NA,NA,N,NA,NA,NA,NA,
6/13/22,10:52,WL,GGYG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
5/19/22,9:21,WL,GGYR,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,
5/23/22,9:45,WL,GGYR,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/26/22,9:22,WL,GGYR,Removed,M,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,
5/31/22,9:18,WL,GGYR,Removed,M,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/2/22,9:22,WL,GGYR,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/6/22,9:36,WL,GGYR,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
